strategy;selectivity;maxToAverageRatio;averageLatency;averageCryptoTime;averageComputeTime;failCheckPeriod;healthCheckPeriod;multicastSize;deadline;failureRate;depth;fanout;groupSize;concentration;random;seed;status;work;latency;completeness;circulatingAggregateIds;finalUsedBandwidth;observedFailureRate;work_Querier;failures_Querier;messages_Querier;initial_nodes_Querier;final_nodes_Querier;bandwidth_Querier;work_Aggregator;failures_Aggregator;messages_Aggregator;initial_nodes_Aggregator;final_nodes_Aggregator;bandwidth_Aggregator;work_LeafAggregator;failures_LeafAggregator;messages_LeafAggregator;initial_nodes_LeafAggregator;final_nodes_LeafAggregator;bandwidth_LeafAggregator;work_Contributor;failures_Contributor;messages_Contributor;initial_nodes_Contributor;final_nodes_Contributor;bandwidth_Contributor;work_Backup;failures_Backup;messages_Backup;initial_nodes_Backup;final_nodes_Backup;bandwidth_Backup
OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7e-05;5,0;4,0;3,0;0,0;False;OPTI-f0,00005-s3-d6-c0-581;Success;1536000,0;2600,0;100,0;341,0;7167,0;0,18;0,0;0,0;6,0;1,0;1,0;0,0;0,0;1,0;2295,0;255,0;255,0;255,0;921600,0;1,0;11766,0;768,0;768,0;768,0;614400,0;1,0;4093,0;1024,0;1024,0;6144,0;0,0;2,0;0,0;768,0;768,0;0,0
OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7e-05;5,0;4,0;4,0;0,0;False;OPTI-f0,00005-s4-d6-c0-582;Success;1944000,0;4500,0;99,9;345,0;9564,0;0,29;0,0;0,0;12,0;1,0;1,0;0,0;0,0;1,0;4769,0;340,0;340,0;352,0;1227600,0;2,0;19992,0;1024,0;1024,0;1028,0;716400,0;3,0;5108,0;1024,0;1024,0;8184,0;0,0;4,0;0,0;1024,0;1024,0;0,0
OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7e-05;5,0;4,0;5,0;0,0;False;OPTI-f0,00005-s5-d6-c0-583;Success;2383100,0;9000,0;99,71;356,0;12020,0;0,62;0,0;0,0;26,0;1,0;1,0;0,0;6300,0;1,0;8178,0;425,0;430,0;475,0;1543800,0;9,0;45512,0;1280,0;1284,0;1295,0;824000,0;11,0;16265,0;1024,0;1024,0;10250,0;9000,0;4,0;81,0;1280,0;1271,0;0,0
OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7e-05;5,0;4,0;6,0;0,0;False;OPTI-f0,00005-s6-d6-c0-584;Success;2772000,0;8000,0;99,51;361,0;14426,0;0,54;0,0;0,0;37,0;1,0;1,0;0,0;3200,0;2,0;9788,0;510,0;511,0;590,0;1844700,0;7,0;63279,0;1536,0;1537,0;1559,0;922100,0;7,0;13258,0;1024,0;1024,0;12277,0;2000,0;9,0;18,0;1536,0;1534,0;0,0
OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7e-05;5,0;4,0;5,0;0,0;False;OPTI-f0,00005-s5-d5-c0-585;Success;2369500,0;9000,0;99,32;376,0;12116,0;0,62;0,0;0,0;48,0;1,0;1,0;0,0;3500,0;0,0;8240,0;425,0;428,0;557,0;1539600,0;7,0;45702,0;1280,0;1282,0;1315,0;821600,0;10,0;16249,0;1024,0;1024,0;10244,0;4800,0;8,0;43,0;1280,0;1275,0;0,0
OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7e-05;4,0;4,0;5,0;0,0;False;OPTI-f0,00005-s5-d4-c0-586;Success;588800,0;2700,0;100,0;85,0;2985,0;0,1;0,0;0,0;10,0;1,0;1,0;0,0;0,0;0,0;945,0;105,0;105,0;105,0;384000,0;0,0;8192,0;320,0;320,0;320,0;204800,0;0,0;1536,0;256,0;256,0;2560,0;0,0;1,0;0,0;320,0;320,0;0,0
OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7e-05;3,0;4,0;5,0;0,0;False;OPTI-f0,00005-s5-d3-c0-587;Success;147200,0;2600,0;100,0;21,0;745,0;0,0;0,0;0,0;10,0;1,0;1,0;0,0;0,0;0,0;225,0;25,0;25,0;25,0;96000,0;0,0;2048,0;80,0;80,0;80,0;51200,0;0,0;384,0;64,0;64,0;640,0;0,0;0,0;0,0;80,0;80,0;0,0
EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,0;5,0;4,0;5,0;0,0;False;EAGER-f0-s5-d6-c0-588;Success;2355200,0;2800,0;100,0;341,0;11945,0;0,0;0,0;0,0;10,0;1,0;1,0;0,0;0,0;0,0;3825,0;425,0;425,0;425,0;1536000,0;0,0;32768,0;1280,0;1280,0;1280,0;819200,0;0,0;6144,0;1024,0;1024,0;10240,0;0,0;0,0;0,0;1280,0;1280,0;0,0
EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7e-05;5,0;4,0;5,0;0,0;False;EAGER-f0,00007-s5-d6-c0-589;Success;2475000,0;47600,0;54,69;504,0;12542,0;3,27;0,0;0,0;197,0;1,0;1,0;0,0;4600,0;20,0;33355,0;425,0;425,0;1029,0;1651400,0;37,0;129177,0;1280,0;1280,0;1277,0;819000,0;30,0;80381,0;1024,0;1024,0;10236,0;0,0;44,0;0,0;1280,0;1280,0;0,0
EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,00014;5,0;4,0;5,0;0,0;False;EAGER-f0,00014-s5-d6-c0-590;Success;3238400,0;95600,0;8,98;676,0;13164,0;12,52;0,0;0,0;165,0;1,0;1,0;0,0;15400,0;58,0;51647,0;425,0;425,0;1677,0;2404500,0;163,0;230638,0;1280,0;1280,0;1266,0;818500,0;124,0;144560,0;1024,0;1024,0;10221,0;0,0;157,0;0,0;1280,0;1280,0;0,0
EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,00024;5,0;4,0;5,0;0,0;False;EAGER-f0,00024-s5-d6-c0-591;Success;2502200,0;29700,0;17,19;648,0;12844,0;6,86;0,0;0,0;125,0;1,0;1,0;0,0;9600,0;27,0;20898,0;425,0;425,0;1371,0;1673800,0;90,0;89820,0;1280,0;1280,0;1261,0;818800,0;76,0;48522,0;1024,0;1024,0;10212,0;0,0;82,0;0,0;1280,0;1280,0;0,0
EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,00035;5,0;4,0;5,0;0,0;False;EAGER-f0,00035-s5-d6-c0-592;Success;2359100,0;8600,0;72,27;462,0;12205,0;2,94;0,0;0,0;60,0;1,0;1,0;0,0;3200,0;10,0;8221,0;425,0;425,0;746,0;1537400,0;36,0;45016,0;1280,0;1280,0;1254,0;818500,0;31,0;15903,0;1024,0;1024,0;10205,0;0,0;41,0;0,0;1280,0;1280,0;0,0
EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7e-05;5,0;4,0;3,0;0,0;False;EAGER-f0,00005-s3-d6-c0-593;Success;1535500,0;5700,0;92,58;355,0;7193,0;0,39;0,0;0,0;17,0;1,0;1,0;0,0;400,0;1,0;3586,0;255,0;255,0;286,0;920700,0;3,0;15560,0;768,0;768,0;766,0;614400,0;5,0;7136,0;1024,0;1024,0;6141,0;0,0;2,0;0,0;768,0;768,0;0,0
EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7e-05;5,0;4,0;4,0;0,0;False;EAGER-f0,00005-s4-d6-c0-594;Success;1944000,0;5700,0;99,22;350,0;9572,0;0,38;0,0;0,0;18,0;1,0;1,0;0,0;200,0;1,0;4780,0;340,0;340,0;364,0;1227000,0;3,0;23994,0;1024,0;1024,0;1022,0;716800,0;3,0;9184,0;1024,0;1024,0;8186,0;0,0;6,0;0,0;1024,0;1024,0;0,0
EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7e-05;5,0;4,0;5,0;0,0;False;EAGER-f0,00005-s5-d6-c0-595;Success;2356100,0;5600,0;90,63;353,0;11980,0;0,37;0,0;0,0;27,0;1,0;1,0;0,0;400,0;3,0;5966,0;425,0;425,0;464,0;1536500,0;2,0;39113,0;1280,0;1280,0;1276,0;819200,0;5,0;11222,0;1024,0;1024,0;10240,0;0,0;5,0;0,0;1280,0;1280,0;0,0
EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7e-05;5,0;4,0;6,0;0,0;False;EAGER-f0,00005-s6-d6-c0-596;Success;2969800,0;50500,0;40,63;572,0;15220,0;3,47;0,0;0,0;210,0;1,0;1,0;0,0;6000,0;15,0;42605,0;510,0;510,0;1421,0;2042600,0;53,0;178751,0;1536,0;1536,0;1523,0;921200,0;41,0;101343,0;1024,0;1024,0;12276,0;0,0;51,0;0,0;1536,0;1536,0;0,0
EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7e-05;5,0;4,0;5,0;0,0;False;EAGER-f0,00005-s5-d5-c0-597;Success;2634700,0;74200,0;0,0;505,0;12649,0;5,04;100,0;0,0;124,0;1,0;1,0;0,0;8100,0;33,0;47801,0;425,0;425,0;1153,0;1807800,0;62,0;184184,0;1280,0;1280,0;1273,0;818700,0;45,0;121250,0;1024,0;1024,0;10223,0;0,0;62,0;0,0;1280,0;1280,0;0,0
