;strategy;selectivity;maxToAverageRatio;averageLatency;averageCryptoTime;averageComputeTime;failCheckPeriod;healthCheckPeriod;multicastSize;deadline;failureRate;depth;fanout;groupSize;concentration;random;seed;status;work;latency;completeness;circulatingAggregateIds;finalUsedBandwidth;observedFailureRate;work_Querier;failures_Querier;messages_Querier;initial_nodes_Querier;final_nodes_Querier;bandwidth_Querier;work_Aggregator;failures_Aggregator;messages_Aggregator;initial_nodes_Aggregator;final_nodes_Aggregator;bandwidth_Aggregator;work_LeafAggregator;failures_LeafAggregator;messages_LeafAggregator;initial_nodes_LeafAggregator;final_nodes_LeafAggregator;bandwidth_LeafAggregator;work_Contributor;failures_Contributor;messages_Contributor;initial_nodes_Contributor;final_nodes_Contributor;bandwidth_Contributor;work_Backup;failures_Backup;messages_Backup;initial_nodes_Backup;final_nodes_Backup;bandwidth_Backup
0;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,0;6,0;4,0;5,0;0,0;True;OPTI-f0-s5-d6-c0-0;Success;13310100,0;4100,0;100,0;1365,0;64695,0;0,0;0,0;0,0;15,0;1,0;1,0;0,0;0,0;0,0;23870,0;1705,0;1705,0;1705,0;8680500,0;0,0;176307,0;5120,0;5120,0;5120,0;4629600,0;0,0;34722,0;5787,0;5787,0;57870,0;0,0;0,0;0,0;5120,0;5120,0;0,0
2;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;2,5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,000025-s5-d6-c0-1;Success;13369800,0;9700,0;99,93;1383,0;64983,0;0,21;0,0;0,0;37,0;1,0;1,0;0,0;4000,0;4,0;40992,0;1705,0;1708,0;1777,0;8714400,0;9,0;245025,0;5120,0;5121,0;5135,0;4647400,0;13,0;92792,0;5808,0;5808,0;58071,0;4000,0;12,0;36,0;5120,0;5116,0;0,0
5;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,00005-s5-d6-c0-2;Success;13486700,0;11100,0;99,64;1513,0;65594,0;0,48;0,0;0,0;64,0;1,0;1,0;0,0;19600,0;6,0;41543,0;1705,0;1708,0;2140,0;8764800,0;31,0;245344,0;5120,0;5137,0;5237,0;4682300,0;29,0;93549,0;5817,0;5817,0;58217,0;20000,0;19,0;180,0;5120,0;5100,0;0,0
9;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7,5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,000075-s5-d6-c0-3;Success;13614100,0;20100,0;98,77;1860,0;66610,0;1,43;400,0;0,0;228,0;1,0;1,0;0,0;89000,0;29,0;68582,0;1705,0;1727,0;3209,0;8775600,0;69,0;346028,0;5120,0;5162,0;5521,0;4685900,0;87,0;177859,0;5773,0;5773,0;57880,0;63200,0;69,0;568,0;5120,0;5056,0;0,0
14;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,0001;6,0;4,0;5,0;0,0;True;OPTI-f0,0001-s5-d6-c0-4;Success;13668000,0;17100,0;98,86;1884,0;66778,0;1,56;0,0;0,0;231,0;1,0;1,0;0,0;95700,0;33,0;60244,0;1705,0;1729,0;3306,0;8798500,0;65,0;312714,0;5120,0;5169,0;5555,0;4702000,0;90,0;149186,0;5773,0;5773,0;57917,0;71800,0;89,0;645,0;5120,0;5047,0;0,0
20;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,0;6,0;4,0;5,0;0,0;True;OPTI-f0-s5-d6-c0-5;Success;13335400,0;4100,0;100,0;1365,0;64805,0;0,0;0,0;0,0;15,0;1,0;1,0;0,0;0,0;0,0;23870,0;1705,0;1705,0;1705,0;8697000,0;0,0;176496,0;5120,0;5120,0;5120,0;4638400,0;0,0;34788,0;5798,0;5798,0;57980,0;0,0;0,0;0,0;5120,0;5120,0;0,0
27;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;2,5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,000025-s5-d6-c0-6;Success;13359000,0;9400,0;99,84;1401,0;64860,0;0,26;0,0;0,0;38,0;1,0;1,0;0,0;12600,0;7,0;41078,0;1705,0;1714,0;1817,0;8698200,0;12,0;243613,0;5120,0;5123,0;5147,0;4636400,0;12,0;91917,0;5793,0;5793,0;57896,0;11800,0;16,0;105,0;5120,0;5108,0;0,0
35;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,00005-s5-d6-c0-7;Success;13641200,0;14100,0;99,35;1597,0;66383,0;0,76;0,0;0,0;111,0;1,0;1,0;0,0;44900,0;15,0;50525,0;1705,0;1717,0;2442,0;8839500,0;32,0;280839,0;5120,0;5142,0;5338,0;4722800,0;48,0;122965,0;5857,0;5857,0;58603,0;34000,0;41,0;307,0;5120,0;5086,0;0,0
44;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7,5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,000075-s5-d6-c0-8;Success;13349800,0;10300,0;99,67;1482,0;64730,0;0,59;0,0;0,0;43,0;1,0;1,0;0,0;25300,0;5,0;41491,0;1705,0;1708,0;2033,0;8660500,0;37,0;242980,0;5120,0;5145,0;5223,0;4636400,0;41,0;91338,0;5744,0;5744,0;57474,0;27600,0;22,0;248,0;5120,0;5092,0;0,0
54;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,0001;6,0;4,0;5,0;0,0;True;OPTI-f0,0001-s5-d6-c0-9;Success;15238700,0;62000,0;93,78;4384,0;76047,0;6,1;0,0;0,0;1604,0;1,0;1,0;0,0;444900,0;111,0;197203,0;1705,0;1805,0;10172,0;9426900,0;298,0;798777,0;5120,0;5391,0;7185,0;5018900,0;379,0;546330,0;5737,0;5737,0;58690,0;348000,0;291,0;3099,0;5120,0;4749,0;0,0
65;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,0;6,0;4,0;5,0;0,0;True;OPTI-f0-s5-d6-c0-10;Success;13328500,0;4100,0;100,0;1365,0;64775,0;0,0;0,0;0,0;15,0;1,0;1,0;0,0;0,0;0,0;23870,0;1705,0;1705,0;1705,0;8692500,0;0,0;176149,0;5120,0;5120,0;5120,0;4636000,0;0,0;34770,0;5795,0;5795,0;57950,0;0,0;0,0;0,0;5120,0;5120,0;0,0
77;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;2,5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,000025-s5-d6-c0-11;Success;13282700,0;9700,0;99,88;1402,0;64488,0;0,31;0,0;0,0;29,0;1,0;1,0;0,0;19300,0;7,0;41135,0;1705,0;1716,0;1840,0;8640600,0;16,0;243055,0;5120,0;5125,0;5158,0;4606800,0;14,0;91721,0;5748,0;5748,0;57490,0;16000,0;17,0;144,0;5120,0;5104,0;0,0
90;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,00005-s5-d6-c0-12;Success;13408000,0;12400,0;99,7;1480,0;64958,0;0,61;0,0;0,0;70,0;1,0;1,0;0,0;34800,0;12,0;50005,0;1705,0;1719,0;2060,0;8702100,0;34,0;276502,0;5120,0;5139,0;5222,0;4638100,0;31,0;119920,0;5759,0;5759,0;57676,0;33000,0;31,0;297,0;5120,0;5087,0;0,0
104;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7,5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,000075-s5-d6-c0-13;Success;13486100,0;13900,0;99,43;1572,0;65392,0;1,0;0,0;0,0;72,0;1,0;1,0;0,0;57000,0;19,0;50554,0;1705,0;1719,0;2367,0;8720000,0;48,0;277639,0;5120,0;5152,0;5327,0;4663700,0;54,0;120125,0;5765,0;5765,0;57698,0;45400,0;56,0;408,0;5120,0;5074,0;0,0
119;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,0001;6,0;4,0;5,0;0,0;True;OPTI-f0,0001-s5-d6-c0-14;Success;13639600,0;11000,0;99,42;1605,0;66232,0;1,09;0,0;0,0;74,0;1,0;1,0;0,0;39600,0;14,0;42067,0;1705,0;1711,0;2459,0;8832000,0;63,0;245986,0;5120,0;5156,0;5352,0;4726200,0;55,0;92519,0;5830,0;5830,0;58421,0;41800,0;61,0;375,0;5120,0;5078,0;0,0
135;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,0;6,0;4,0;5,0;0,0;True;OPTI-f0-s5-d6-c0-15;Success;13294000,0;4100,0;100,0;1365,0;64625,0;0,0;0,0;0,0;15,0;1,0;1,0;0,0;0,0;0,0;23870,0;1705,0;1705,0;1705,0;8670000,0;0,0;176060,0;5120,0;5120,0;5120,0;4624000,0;0,0;34680,0;5780,0;5780,0;57800,0;0,0;0,0;0,0;5120,0;5120,0;0,0
152;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;2,5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,000025-s5-d6-c0-16;Success;13438800,0;10000,0;99,93;1389,0;65067,0;0,26;0,0;0,0;37,0;1,0;1,0;0,0;16200,0;5,0;41070,0;1705,0;1708,0;1791,0;8738700,0;15,0;244736,0;5120,0;5132,0;5140,0;4668900,0;12,0;92795,0;5811,0;5811,0;58136,0;15000,0;15,0;135,0;5120,0;5105,0;0,0
170;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,00005-s5-d6-c0-17;Success;13327700,0;10900,0;99,65;1488,0;64945,0;0,54;0,0;0,0;43,0;1,0;1,0;0,0;20700,0;5,0;41534,0;1705,0;1708,0;2132,0;8662200,0;29,0;243838,0;5120,0;5135,0;5233,0;4626800,0;32,0;91707,0;5757,0;5757,0;57580,0;18000,0;29,0;162,0;5120,0;5102,0;0,0
189;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7,5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,000075-s5-d6-c0-18;Success;13524400,0;11100,0;99,54;1529,0;65659,0;0,8;0,0;0,0;31,0;1,0;1,0;0,0;45100,0;16,0;41804,0;1705,0;1717,0;2222,0;8765000,0;38,0;245065,0;5120,0;5141,0;5307,0;4681700,0;44,0;93319,0;5809,0;5809,0;58130,0;32600,0;44,0;293,0;5120,0;5087,0;0,0
209;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,0001;6,0;4,0;5,0;0,0;True;OPTI-f0,0001-s5-d6-c0-19;Success;13529300,0;11000,0;99,17;1629,0;65799,0;1,14;0,0;0,0;62,0;1,0;1,0;0,0;46600,0;20,0;42128,0;1705,0;1713,0;2499,0;8753300,0;55,0;244730,0;5120,0;5155,0;5373,0;4687000,0;72,0;91668,0;5786,0;5786,0;57927,0;42400,0;56,0;380,0;5120,0;5077,0;0,0
230;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,0;6,0;4,0;5,0;0,0;True;OPTI-f0-s5-d6-c0-20;Success;13489500,0;4100,0;100,0;1365,0;65475,0;0,0;0,0;0,0;15,0;1,0;1,0;0,0;0,0;0,0;23870,0;1705,0;1705,0;1705,0;8797500,0;0,0;177761,0;5120,0;5120,0;5120,0;4692000,0;0,0;35190,0;5865,0;5865,0;58650,0;0,0;0,0;0,0;5120,0;5120,0;0,0
252;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;2,5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,000025-s5-d6-c0-21;Success;13337400,0;9400,0;99,88;1401,0;64819,0;0,23;0,0;0,0;38,0;1,0;1,0;0,0;11800,0;5,0;41083,0;1705,0;1712,0;1832,0;8685000,0;13,0;243540,0;5120,0;5123,0;5150,0;4630600,0;11,0;91855,0;5784,0;5784,0;57837,0;10000,0;12,0;90,0;5120,0;5110,0;0,0
275;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,00005-s5-d6-c0-22;Success;13535300,0;18400,0;99,25;1623,0;65678,0;0,91;0,0;0,0;156,0;1,0;1,0;0,0;64000,0;16,0;67671,0;1705,0;1725,0;2552,0;8749500,0;45,0;344897,0;5120,0;5154,0;5324,0;4668400,0;47,0;176828,0;5768,0;5768,0;57802,0;53400,0;53,0;480,0;5120,0;5066,0;0,0
299;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7,5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,000075-s5-d6-c0-23;Success;13943900,0;28400,0;98,13;2183,0;68143,0;2,2;0,0;0,0;494,0;1,0;1,0;0,0;133100,0;30,0;95574,0;1705,0;1731,0;4280,0;8914400,0;110,0;446548,0;5120,0;5216,0;5765,0;4777600,0;127,0;260123,0;5768,0;5768,0;58098,0;118800,0;122,0;1065,0;5120,0;4998,0;0,0
324;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,0001;6,0;4,0;5,0;0,0;True;OPTI-f0,0001-s5-d6-c0-24;Success;13488300,0;11100,0;99,36;1629,0;65831,0;1,02;0,0;0,0;77,0;1,0;1,0;0,0;39900,0;14,0;42187,0;1705,0;1712,0;2583,0;8739600,0;57,0;244818,0;5120,0;5150,0;5373,0;4672000,0;57,0;92678,0;5780,0;5780,0;57875,0;36800,0;52,0;331,0;5120,0;5083,0;0,0
350;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,0;6,0;4,0;5,0;0,0;True;OPTI-f0-s5-d6-c0-25;Success;13218100,0;4100,0;100,0;1365,0;64295,0;0,0;0,0;0,0;15,0;1,0;1,0;0,0;0,0;0,0;23870,0;1705,0;1705,0;1705,0;8620500,0;0,0;175332,0;5120,0;5120,0;5120,0;4597600,0;0,0;34482,0;5747,0;5747,0;57470,0;0,0;0,0;0,0;5120,0;5120,0;0,0
377;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;2,5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,000025-s5-d6-c0-26;Success;13286200,0;9400,0;99,81;1425,0;64654,0;0,28;0,0;0,0;49,0;1,0;1,0;0,0;14000,0;5,0;41172,0;1705,0;1711,0;1908,0;8648700,0;9,0;242895,0;5120,0;5125,0;5167,0;4612500,0;22,0;91425,0;5758,0;5758,0;57579,0;11000,0;13,0;99,0;5120,0;5109,0;0,0
405;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,00005-s5-d6-c0-27;Success;13379300,0;10900,0;99,62;1500,0;65216,0;0,5;0,0;0,0;64,0;1,0;1,0;0,0;26500,0;14,0;41505,0;1705,0;1712,0;2142,0;8695500,0;20,0;244275,0;5120,0;5129,0;5229,0;4641300,0;29,0;92132,0;5783,0;5783,0;57845,0;16000,0;26,0;144,0;5120,0;5104,0;0,0
434;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7,5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,000075-s5-d6-c0-28;Success;13496400,0;10300,0;99,41;1521,0;65383,0;0,88;0,0;0,0;25,0;1,0;1,0;0,0;27400,0;5,0;41752,0;1705,0;1706,0;2193,0;8742600,0;55,0;244468,0;5120,0;5156,0;5268,0;4689800,0;50,0;91853,0;5790,0;5790,0;57922,0;36600,0;46,0;329,0;5120,0;5083,0;0,0
464;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,0001;6,0;4,0;5,0;0,0;True;OPTI-f0,0001-s5-d6-c0-29;Success;13985900,0;26100,0;97,83;2381,0;68438,0;2,49;0,0;0,0;491,0;1,0;1,0;0,0;181500,0;50,0;87631,0;1705,0;1748,0;4615,0;8909900,0;121,0;411693,0;5120,0;5218,0;5882,0;4758100,0;148,0;231496,0;5750,0;5750,0;57941,0;136400,0;122,0;1221,0;5120,0;4979,0;0,0
495;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,0;6,0;4,0;5,0;0,0;True;OPTI-f0-s5-d6-c0-30;Success;13231900,0;4100,0;100,0;1365,0;64355,0;0,0;0,0;0,0;15,0;1,0;1,0;0,0;0,0;0,0;23870,0;1705,0;1705,0;1705,0;8629500,0;0,0;175612,0;5120,0;5120,0;5120,0;4602400,0;0,0;34518,0;5753,0;5753,0;57530,0;0,0;0,0;0,0;5120,0;5120,0;0,0
527;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;2,5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,000025-s5-d6-c0-31;Success;13383400,0;8100,0;99,93;1386,0;65044,0;0,17;0,0;0,0;29,0;1,0;1,0;0,0;6200,0;4,0;32483,0;1705,0;1707,0;1780,0;8722500,0;12,0;211070,0;5120,0;5121,0;5141,0;4651700,0;9,0;64746,0;5813,0;5813,0;58123,0;3000,0;6,0;27,0;5120,0;5117,0;0,0
560;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,00005-s5-d6-c0-32;Success;13456000,0;11000,0;99,67;1484,0;65391,0;0,5;0,0;0,0;60,0;1,0;1,0;0,0;25400,0;9,0;41459,0;1705,0;1711,0;2074,0;8742000,0;27,0;244935,0;5120,0;5134,0;5222,0;4669000,0;23,0;92550,0;5807,0;5807,0;58095,0;19600,0;29,0;176,0;5120,0;5100,0;0,0
594;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7,5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,000075-s5-d6-c0-33;Success;13480300,0;10300,0;99,64;1465,0;65130,0;0,83;0,0;0,0;31,0;1,0;1,0;0,0;38000,0;14,0;41427,0;1705,0;1714,0;1970,0;8736200,0;39,0;244089,0;5120,0;5143,0;5207,0;4674300,0;51,0;92076,0;5795,0;5795,0;57953,0;31800,0;43,0;286,0;5120,0;5088,0;0,0
629;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,0001;6,0;4,0;5,0;0,0;True;OPTI-f0,0001-s5-d6-c0-34;Success;13770300,0;19800,0;98,28;2080,0;67642,0;2,03;0,0;0,0;295,0;1,0;1,0;0,0;104500,0;32,0;69650,0;1705,0;1729,0;3927,0;8846200,0;89,0;346140,0;5120,0;5190,0;5751,0;4727800,0;132,0;175562,0;5771,0;5771,0;57964,0;91800,0;107,0;823,0;5120,0;5026,0;0,0
665;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,0;6,0;4,0;5,0;0,0;True;OPTI-f0-s5-d6-c0-35;Success;13296300,0;4100,0;100,0;1365,0;64635,0;0,0;0,0;0,0;15,0;1,0;1,0;0,0;0,0;0,0;23870,0;1705,0;1705,0;1705,0;8671500,0;0,0;175912,0;5120,0;5120,0;5120,0;4624800,0;0,0;34686,0;5781,0;5781,0;57810,0;0,0;0,0;0,0;5120,0;5120,0;0,0
702;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;2,5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,000025-s5-d6-c0-36;Success;13439500,0;10000,0;99,9;1393,0;65102,0;0,22;0,0;0,0;29,0;1,0;1,0;0,0;15800,0;4,0;41075,0;1705,0;1709,0;1788,0;8741100,0;13,0;244857,0;5120,0;5130,0;5141,0;4668600,0;9,0;92883,0;5817,0;5817,0;58173,0;14000,0;13,0;126,0;5120,0;5106,0;0,0
740;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,00005-s5-d6-c0-37;Success;13452200,0;10900,0;99,69;1466,0;65215,0;0,54;0,0;0,0;39,0;1,0;1,0;0,0;26700,0;8,0;41424,0;1705,0;1710,0;1999,0;8734500,0;30,0;244244,0;5120,0;5139,0;5219,0;4667000,0;30,0;92286,0;5797,0;5797,0;57997,0;24000,0;27,0;216,0;5120,0;5096,0;0,0
779;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7,5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,000075-s5-d6-c0-38;Success;13564700,0;10000,0;99,55;1485,0;65571,0;0,79;0,0;0,0;25,0;1,0;1,0;0,0;36200,0;16,0;41533,0;1705,0;1712,0;2073,0;8784900,0;50,0;244935,0;5120,0;5148,0;5239,0;4708600,0;43,0;92461,0;5823,0;5823,0;58259,0;35000,0;31,0;313,0;5120,0;5085,0;0,0
819;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,0001;6,0;4,0;5,0;0,0;True;OPTI-f0,0001-s5-d6-c0-39;Success;13599500,0;14000,0;98,93;1803,0;66522,0;1,3;0,0;0,0;147,0;1,0;1,0;0,0;67800,0;22,0;51303,0;1705,0;1721,0;3004,0;8783400,0;64,0;279221,0;5120,0;5158,0;5492,0;4695100,0;80,0;120273,0;5790,0;5790,0;58026,0;53200,0;64,0;478,0;5120,0;5066,0;0,0
860;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,0;6,0;4,0;5,0;0,0;True;OPTI-f0-s5-d6-c0-40;Success;13300900,0;4100,0;100,0;1365,0;64655,0;0,0;0,0;0,0;15,0;1,0;1,0;0,0;0,0;0,0;23870,0;1705,0;1705,0;1705,0;8674500,0;0,0;176064,0;5120,0;5120,0;5120,0;4626400,0;0,0;34698,0;5783,0;5783,0;57830,0;0,0;0,0;0,0;5120,0;5120,0;0,0
902;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;2,5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,000025-s5-d6-c0-41;Success;13330300,0;10000,0;99,86;1413,0;64726,0;0,28;0,0;0,0;41,0;1,0;1,0;0,0;9900,0;2,0;41150,0;1705,0;1706,0;1852,0;8674800,0;17,0;243768,0;5120,0;5131,0;5160,0;4633600,0;11,0;92110,0;5770,0;5770,0;57714,0;12000,0;20,0;108,0;5120,0;5108,0;0,0
945;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,00005-s5-d6-c0-42;Success;13734000,0;17000,0;99,38;1633,0;66497,0;0,92;0,0;0,0;135,0;1,0;1,0;0,0;53900,0;13,0;59243,0;1705,0;1713,0;2536,0;8876400,0;56,0;314981,0;5120,0;5165,0;5349,0;4750700,0;54,0;150819,0;5844,0;5844,0;58612,0;53000,0;40,0;476,0;5120,0;5067,0;0,0
989;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7,5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,000075-s5-d6-c0-43;Success;14019100,0;30400,0;97,83;2370,0;68497,0;2,31;0,0;0,0;615,0;1,0;1,0;0,0;171600,0;38,0;104443,0;1705,0;1752,0;4703,0;8938600,0;123,0;478105,0;5120,0;5220,0;5804,0;4762300,0;135,0;286405,0;5749,0;5749,0;57990,0;146600,0;113,0;1303,0;5120,0;4973,0;0,0
1034;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,0001;6,0;4,0;5,0;0,0;True;OPTI-f0,0001-s5-d6-c0-44;Success;13627400,0;11100,0;99,42;1564,0;66079,0;1,1;0,0;0,0;38,0;1,0;1,0;0,0;50200,0;18,0;41986,0;1705,0;1717,0;2342,0;8820000,0;57,0;245758,0;5120,0;5150,0;5337,0;4715800,0;60,0;93617,0;5838,0;5838,0;58400,0;41400,0;61,0;372,0;5120,0;5078,0;0,0
1080;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,0;6,0;4,0;5,0;0,0;True;OPTI-f0-s5-d6-c0-45;Success;13461900,0;4100,0;100,0;1365,0;65355,0;0,0;0,0;0,0;15,0;1,0;1,0;0,0;0,0;0,0;23870,0;1705,0;1705,0;1705,0;8779500,0;0,0;177369,0;5120,0;5120,0;5120,0;4682400,0;0,0;35118,0;5853,0;5853,0;58530,0;0,0;0,0;0,0;5120,0;5120,0;0,0
1127;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;2,5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,000025-s5-d6-c0-46;Success;13183000,0;10000,0;99,91;1391,0;64006,0;0,25;0,0;0,0;26,0;1,0;1,0;0,0;16000,0;6,0;41092,0;1705,0;1710,0;1799,0;8577300,0;13,0;241488,0;5120,0;5128,0;5148,0;4576700,0;12,0;91096,0;5704,0;5704,0;57059,0;13000,0;14,0;117,0;5120,0;5107,0;0,0
1175;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,00005-s5-d6-c0-47;Success;13401700,0;9700,0;99,72;1453,0;65182,0;0,42;0,0;0,0;38,0;1,0;1,0;0,0;18500,0;7,0;41315,0;1705,0;1717,0;1986,0;8718900,0;19,0;244663,0;5120,0;5125,0;5192,0;4647500,0;23,0;92467,0;5801,0;5801,0;58004,0;16800,0;26,0;150,0;5120,0;5103,0;0,0
1224;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7,5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,000075-s5-d6-c0-48;Success;13714300,0;16400,0;99,07;1667,0;66343,0;1,24;0,0;0,0;148,0;1,0;1,0;0,0;78300,0;21,0;59626,0;1705,0;1722,0;2744,0;8833600,0;68,0;312709,0;5120,0;5173,0;5418,0;4733600,0;72,0;149073,0;5803,0;5803,0;58181,0;68800,0;59,0;617,0;5120,0;5050,0;0,0
1274;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,0001;6,0;4,0;5,0;0,0;True;OPTI-f0,0001-s5-d6-c0-49;Success;13666300,0;14000,0;99,09;1709,0;66752,0;1,3;0,0;0,0;149,0;1,0;1,0;0,0;50400,0;18,0;51010,0;1705,0;1716,0;2821,0;8843600,0;61,0;280843,0;5120,0;5154,0;5439,0;4727900,0;78,0;121541,0;5842,0;5842,0;58492,0;44400,0;74,0;397,0;5120,0;5075,0;0,0
1325;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;3,0;0,0;True;OPTI-f0,00005-s3-d6-c0-50;Success;8734000,0;10000,0;99,59;1497,0;39097,0;0,58;0,0;0,0;37,0;1,0;1,0;0,0;13200,0;5,0;24867,0;1023,0;1026,0;1258,0;5216100,0;19,0;110129,0;3072,0;3084,0;3136,0;3489700,0;37,0;57497,0;5784,0;5784,0;34703,0;15000,0;14,0;135,0;3072,0;3057,0;0,0
