;strategy;selectivity;maxToAverageRatio;averageLatency;averageCryptoTime;averageComputeTime;failCheckPeriod;healthCheckPeriod;multicastSize;deadline;failureRate;depth;fanout;groupSize;concentration;random;seed;status;work;latency;completeness;circulatingAggregateIds;finalUsedBandwidth;observedFailureRate;work_Querier;failures_Querier;messages_Querier;initial_nodes_Querier;final_nodes_Querier;bandwidth_Querier;work_Aggregator;failures_Aggregator;messages_Aggregator;initial_nodes_Aggregator;final_nodes_Aggregator;bandwidth_Aggregator;work_LeafAggregator;failures_LeafAggregator;messages_LeafAggregator;initial_nodes_LeafAggregator;final_nodes_LeafAggregator;bandwidth_LeafAggregator;work_Contributor;failures_Contributor;messages_Contributor;initial_nodes_Contributor;final_nodes_Contributor;bandwidth_Contributor;work_Backup;failures_Backup;messages_Backup;initial_nodes_Backup;final_nodes_Backup;bandwidth_Backup
74072;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;3,0;0,0;True;EAGER-f0,00005-s3-d6-c0-640;Success;10266100,0;110400,0;41,17;1986,0;40446,0;5,23;0,0;0,0;114,0;1,0;1,0;0,0;19600,0;60,0;176951,0;1023,0;1023,0;2712,0;6777300,0;161,0;773030,0;3072,0;3072,0;3061,0;3469200,0;303,0;602373,0;5784,0;5784,0;34673,0;0,0;154,0;0,0;3072,0;3072,0;0,0
74324;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;4,0;0,0;True;EAGER-f0,00005-s4-d6-c0-641;Deadline;15569900,0;150100,0;0,0;2306,0;54919,0;7,97;0,0;0,0;200,0;1,0;1,0;0,0;35600,0;102,0;295363,0;1364,0;1364,0;4529,0;11478000,0;318,0;1443142,0;4096,0;4096,0;4068,0;4056300,0;483,0;1069499,0;5797,0;5797,0;46322,0;0,0;320,0;0,0;4096,0;4096,0;0,0
74577;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;5,0;0,0;True;EAGER-f0,00005-s5-d6-c0-642;Success;15877500,0;110600,0;22,98;2533,0;69040,0;5,27;0,0;0,0;356,0;1,0;1,0;0,0;33900,0;98,0;279706,0;1705,0;1705,0;6059,0;11210900,0;284,0;1390294,0;5120,0;5120,0;5095,0;4632700,0;286,0;1003934,0;5792,0;5792,0;57886,0;0,0;267,0;0,0;5120,0;5120,0;0,0
74831;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;6,0;0,0;True;EAGER-f0,00005-s6-d6-c0-643;Success;18960700,0;104500,0;18,72;3002,0;84436,0;5,27;0,0;0,0;706,0;1,0;1,0;0,0;38300,0;107,0;313952,0;2046,0;2046,0;8586,0;13689200,0;351,0;1683631,0;6144,0;6144,0;6110,0;5233200,0;305,0;1131672,0;5816,0;5816,0;69740,0;0,0;298,0;0,0;6144,0;6144,0;0,0
75086;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;3,0;0,0;True;EAGER-f0,00005-s3-d6-c0-644;Success;8869800,0;38600,0;80,25;1567,0;39268,0;1,85;0,0;0,0;44,0;1,0;1,0;0,0;6600,0;14,0;69589,0;1023,0;1023,0;1566,0;5397100,0;58,0;299418,0;3072,0;3072,0;3061,0;3466100,0;110,0;218522,0;5778,0;5778,0;34641,0;0,0;58,0;0,0;3072,0;3072,0;0,0
75342;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;4,0;0,0;True;EAGER-f0,00005-s4-d6-c0-645;Success;10998500,0;5800,0;97,43;1403,0;51832,0;0,31;0,0;0,0;32,0;1,0;1,0;0,0;900,0;7,0;19128,0;1364,0;1364,0;1461,0;6946000,0;8,0;126283,0;4096,0;4096,0;4075,0;4051600,0;18,0;44256,0;5789,0;5789,0;46296,0;0,0;14,0;0,0;4096,0;4096,0;0,0
75599;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;5,0;0,0;True;EAGER-f0,00005-s5-d6-c0-646;Success;14654900,0;77800,0;43,59;2353,0;68330,0;3,88;0,0;0,0;305,0;1,0;1,0;0,0;23500,0;70,0;210832,0;1705,0;1705,0;5234,0;9988600,0;198,0;1020643,0;5120,0;5120,0;5101,0;4642800,0;206,0;720923,0;5804,0;5804,0;57995,0;0,0;214,0;0,0;5120,0;5120,0;0,0
75857;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;6,0;0,0;True;EAGER-f0,00005-s6-d6-c0-647;Success;16312000,0;47200,0;0,0;2166,0;80900,0;2,48;100,0;0,0;236,0;1,0;1,0;0,0;17100,0;45,0;165298,0;2046,0;2046,0;5183,0;11073900,0;142,0;857914,0;6144,0;6144,0;6121,0;5220900,0;145,0;516812,0;5802,0;5802,0;69596,0;0,0;168,0;0,0;6144,0;6144,0;0,0
76116;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;3,0;0,0;True;EAGER-f0,00005-s3-d6-c0-648;Success;9145000,0;65600,0;71,62;1887,0;39663,0;3,1;0,0;0,0;254,0;1,0;1,0;0,0;10500,0;31,0;112357,0;1023,0;1023,0;2232,0;5697200,0;84,0;477497,0;3072,0;3072,0;3068,0;3437300,0;180,0;364752,0;5730,0;5730,0;34363,0;0,0;105,0;0,0;3072,0;3072,0;0,0
76376;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;4,0;0,0;True;EAGER-f0,00005-s4-d6-c0-649;Success;11001800,0;20200,0;0,0;1560,0;52019,0;0,94;100,0;0,0;78,0;1,0;1,0;0,0;4800,0;18,0;52589,0;1364,0;1364,0;1856,0;6962400,0;36,0;249104,0;4096,0;4096,0;4076,0;4034500,0;44,0;144290,0;5764,0;5764,0;46087,0;0,0;46,0;0,0;4096,0;4096,0;0,0
