failure_probability;LowCost;HighCmpl;S&P;HyBlock
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.0;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.01;1.8409721567243733;2.361088332283808;2.358376080247778;2.562708424754173
0.01;2.3612394757763417;2.365984969648007;2.3612394757763417;2.3636122227121743
0.01;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.01;1.447826033019848;2.3609323710803087;2.3600875085663997;2.359471234013465
0.01;2.0631250365025653;2.3616304104815646;2.361085401299989;2.562417164706013
0.01;2.3612394757763417;2.3636122227121743;2.3612394757763417;2.3612394757763417
0.01;1.3521112937925817;2.3660755556634827;2.36048537909198;2.3622417615678426
0.01;2.062746115425173;2.361549877368579;2.3600887403017357;2.3600887403017357
0.01;2.0919798259672757;2.7771698718072133;2.3575709121612003;2.5622106453850386
0.01;2.0747675352765476;2.361833505335864;2.361696167567112;2.5622267436961024
0.01;1.2560426111922725;2.36142366927029;2.359115483943409;2.3584684201661803
0.01;2.1003802448846667;2.3609554148820058;2.3612394757763417;2.3609554148820058
0.01;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.01;2.0436800628083005;2.361403453526786;2.3599423164599425;2.3599423164599425
0.01;2.0694420900330295;2.77651579970144;2.361085401299989;2.5647899116418458
0.01;2.3608415352351804;2.363214282171013;2.3608415352351804;2.3608415352351804
0.01;2.099022159777618;2.563448927434497;2.3606825779463274;2.563448927434497
0.01;2.3612394757763417;2.3636122227121743;2.3612394757763417;2.3636122227121743
0.01;0.9684222587585164;2.362932555443518;2.36048537909198;2.359869104539046
0.01;0.8725;2.3648535105757773;2.36048537909198;2.359869104539046
0.01;2.3608415352351804;2.361342902999123;2.3608415352351804;2.3608415352351804
0.01;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.01;2.3612394757763417;2.3616304104815646;2.3612394757763417;2.3612394757763417
0.01;2.3612394757763417;2.3636122227121743;2.3612394757763417;2.3612394757763417
0.01;2.3608415352351804;2.3608415352351804;2.3608415352351804;2.3608415352351804
0.01;2.041979596481715;2.9773115937406067;2.3579516934645826;2.9773115937406067
0.01;2.3612394757763417;2.3612394757763417;2.3612394757763417;2.3612394757763417
0.01;1.6903582771455299;2.365274398744668;2.359869104539046;2.359869104539046
0.01;2.3612394757763417;2.3638125262799776;2.3612394757763417;2.3612394757763417
0.01;2.3612394757763417;2.3628418503304105;2.3612394757763417;2.3612394757763417
0.01;2.098618264215957;2.363421801702263;2.361850242043465;2.3610490547664305
0.01;2.0948643786312373;2.364157136148595;2.3612394757763417;2.3628418503304105
0.01;1.993288033640328;2.3613302416058892;2.359869104539046;2.359869104539046
0.01;2.0970522361954465;2.361416497958171;2.361085401299989;2.361416497958171
0.01;2.360858633756519;2.360858633756519;2.360858633756519;2.360858633756519
0.01;2.093801071971151;2.3602134196886517;2.3579781700648366;2.3602134196886517
0.01;2.3612394757763417;2.3644134099892087;2.3612394757763417;2.3612394757763417
0.01;2.3612394757763417;2.3636122227121743;2.3612394757763417;2.3636122227121743
0.02;2.3612394757763417;2.366295191426172;2.3612394757763417;2.3636122227121743
0.02;2.041979596481715;2.569819120262054;2.3579516934645826;2.3625230973409663
0.02;2.044119955161982;2.7759275781815287;2.35958105189481;2.3619537089236067
0.02;1.6905514515165527;2.362553509044559;2.3550312915689533;2.357235519178987
0.02;1.6398853912602203;2.364096295001472;2.36048537909198;2.361440604649028
0.02;1.639864307133112;2.3612028874376163;2.3574612642452943;2.3568157969286365
0.02;2.098427843206046;2.364974229868993;2.3616598210335535;2.360858633756519
0.02;2.0631250365025653;2.564071396857816;2.361085401299989;2.562417164706013
0.02;0.87229248046875;2.363698494439777;2.3600875085663997;2.359471234013465
0.03;0.87228759765625;2.563608229113616;2.358866489093804;2.3605919924997476
0.03;1.9425939830330408;2.3637563554018817;2.3604490967358833;2.3596787535447152
0.03;2.063362284634863;2.5666777376254957;2.3613226494322865;2.5618532255612765
0.03;1.351468172204119;2.3625249693115165;2.3580759950230643;2.3568157969286365
0.03;1.2561890350340654;2.5681807223352173;2.356562249720086;2.35791465743118
0.03;1.4476063972571585;2.3648769637889315;2.355401916139766;2.5594264091567815
