failure_probability;LowCost;HighCmpl;S&P;HyBlock
0.3;1.1;7.73;4.21;4.59
0.3;1.1;6.58;4.22;5.93
0.3;1.27;5.11;4.19;4.96
0.3;1.71;10.14;4.14;5.15
0.3;1.46;10.75;4.12;4.94
0.3;1.15;8.34;4.14;4.28
0.3;1.13;7.19;4.17;5.51
0.3;1.3;8.75;4.22;5.0
0.3;1.19;7.16;4.26;5.66
0.3;1.15;6.4;4.17;4.64
0.3;1.14;8.34;4.2;4.97
0.3;1.15;6.34;4.44;5.97
0.3;1.28;8.34;4.19;5.05
0.3;1.21;16.89;4.14;4.38
0.3;1.27;19.96;4.17;5.56
0.35;1.1;7.78;4.3;5.15
0.35;1.19;18.12;4.17;6.58
0.35;1.24;19.76;4.17;4.28
0.35;1.14;5.71;4.16;5.25
0.35;1.09;29.54;4.12;5.94
0.35;1.1;35.64;4.17;4.79
0.35;1.14;8.7;4.19;5.76
0.35;1.72;19.94;4.17;4.84
0.35;1.22;7.51;4.17;4.74
0.35;1.16;28.21;4.12;5.46
0.35;1.25;7.11;4.13;5.4
0.35;1.1;8.24;4.13;4.83
0.35;1.1;6.58;4.33;5.19
0.35;1.28;5.99;4.22;5.35
0.35;1.62;22.65;4.3;6.74
0.35;1.41;16.12;4.14;6.84
0.35;1.14;8.49;4.14;5.56
0.35;1.13;6.76;4.17;6.79
0.35;1.27;7.93;4.22;7.2
0.35;1.17;6.96;4.12;6.12
0.35;1.14;7.21;4.17;5.2
0.35;1.13;7.16;4.41;5.51
0.35;1.24;5.37;4.17;6.38
0.4;1.13;7.68;4.17;5.61
0.4;1.1;7.06;4.14;4.96
0.4;1.18;17.92;4.17;5.88
0.4;1.23;7.68;4.12;5.35
0.4;1.13;8.19;4.12;4.64
0.4;1.13;48.23;4.09;5.1
0.4;1.16;8.42;4.12;6.38
0.4;1.13;22.37;4.23;5.61
0.4;1.22;44.54;4.19;5.3
0.4;1.24;14.38;4.22;6.68
0.4;1.1;5.93;4.13;4.87
0.4;1.09;28.82;4.14;4.94
0.4;1.25;6.96;4.19;5.3
0.4;1.2;8.44;4.35;5.56
0.4;1.64;37.19;4.17;5.2
0.4;1.15;25.75;4.17;5.53
0.4;1.09;28.46;4.38;5.41
0.4;1.22;27.39;4.14;7.04
0.4;1.55;37.62;4.14;6.63
0.4;1.37;15.56;4.12;7.86
0.4;1.13;8.65;4.17;4.46
0.4;1.12;7.11;4.17;5.61
0.4;1.1;38.14;4.12;5.42
0.45;1.13;13.72;4.17;6.74
0.45;1.1;16.86;4.12;5.06
0.45;1.17;18.68;4.14;4.79
0.45;1.21;8.37;4.12;5.76
0.45;1.13;7.99;4.12;6.28
0.45;1.12;42.85;4.1;5.71
0.45;1.15;12.63;4.12;5.71
0.45;1.12;21.09;4.14;5.46
0.45;1.2;52.42;4.17;6.53
0.45;1.13;9.21;4.16;6.48
0.45;1.34;15.73;4.12;7.61
0.45;1.5;59.21;4.13;5.66
0.45;1.21;54.17;4.14;5.66
0.45;1.1;40.85;4.12;4.58
0.45;1.09;30.36;4.43;7.46
0.45;1.23;31.38;4.19;6.89
0.45;1.14;24.09;4.17;5.25
0.45;1.19;7.62;4.07;5.97
0.45;1.58;37.12;4.17;5.14
0.45;1.13;22.68;4.17;5.4
0.45;1.1;38.45;4.15;6.68
0.45;1.09;29.85;4.16;5.81
0.45;1.23;14.06;4.17;5.69
0.5;1.17;38.91;4.05;6.07
0.5;1.1;41.98;4.17;6.58
0.5;1.1;14.64;4.19;6.63
0.5;1.09;34.5;4.29;8.87
0.5;1.09;35.33;4.07;4.79
0.5;1.19;48.76;4.12;4.94
0.5;1.31;13.05;4.19;5.5
0.5;1.12;17.2;4.14;7.4
0.5;1.11;23.85;4.19;6.34
0.5;1.19;58.62;4.19;6.12
0.5;1.21;11.82;4.17;5.61
0.5;1.15;72.9;4.12;5.61
0.5;1.12;11.57;4.17;6.48
0.5;1.12;38.6;4.2;6.07
0.5;1.12;41.93;4.12;4.78
0.5;1.2;50.48;4.1;6.76
0.5;1.16;43.11;4.14;5.87
0.5;1.1;39.42;4.1;5.81
0.5;1.22;35.37;4.18;6.38
0.5;1.14;23.75;4.17;5.81
0.5;1.46;52.41;4.14;4.84
0.5;1.53;33.48;4.17;5.4
0.5;1.14;43.82;4.19;5.2
0.5;1.24;55.59;4.12;7.21
0.5;1.3;8.6;4.17;5.81
0.5;1.18;7.52;4.09;5.04
0.5;1.11;42.85;4.36;5.56
0.5;1.32;8.26;4.09;6.02
0.5;1.21;62.97;4.12;5.36
0.5;1.17;40.99;4.22;5.92
0.5;1.13;12.74;4.12;5.3
0.5;1.26;44.69;4.17;5.92
0.5;1.22;71.83;4.09;6.48
0.5;1.18;6.91;4.17;5.81
0.5;1.09;39.68;3.83;4.93
0.5;1.25;12.9;4.37;5.4
0.5;1.12;37.58;4.2;5.2
0.5;1.29;61.9;4.17;6.84
0.6;1.11;23.19;4.53;6.02
0.6;1.17;55.19;4.17;5.92
0.6;1.19;26.57;4.33;5.1
0.6;1.14;60.76;4.17;5.66
0.6;1.18;42.08;4.09;5.8
0.6;1.11;32.14;4.36;5.21
0.6;1.12;69.07;4.25;5.1
0.6;1.09;32.87;4.11;5.87
0.6;1.12;66.86;4.16;5.63
0.6;1.12;37.27;4.17;8.02
0.6;1.27;31.43;4.26;5.01
0.6;1.15;35.94;4.14;6.02
0.6;1.18;40.63;4.14;5.25
0.6;1.4;43.73;4.14;6.53
0.6;1.09;37.42;4.14;5.92
0.6;1.12;31.33;4.16;4.51
0.6;1.45;27.9;4.15;5.45
0.6;1.09;33.07;3.34;4.64
0.6;1.13;63.94;4.25;6.22
0.6;1.2;58.26;4.17;7.81
0.6;1.09;28.77;4.3;7.22
0.6;1.09;35.27;4.07;5.2
0.6;1.16;55.7;4.13;6.58
0.7;1.11;57.29;4.14;6.53
0.7;1.14;30.82;4.14;6.07
0.7;1.17;36.09;4.17;5.76
0.7;1.11;57.73;4.09;6.17
0.7;1.11;27.59;3.86;20.51
0.7;1.11;31.94;4.16;35.81
0.7;1.13;52.06;4.17;5.59
0.7;1.17;44.44;4.07;5.47
0.7;1.16;47.3;4.17;6.27
0.7;1.1;28.51;4.17;5.02
0.7;1.25;26.98;4.07;5.01
0.7;1.09;28.16;4.12;7.09
0.7;1.16;34.86;4.15;5.1
0.7;1.09;28.36;4.34;89.89
0.7;1.09;34.86;4.12;5.12
0.7;1.11;26.88;4.09;5.61
0.7;1.4;23.96;4.16;5.8
0.7;1.35;46.13;4.14;5.76
0.7;1.12;54.83;4.45;5.87
0.7;1.18;34.71;4.17;6.33
0.7;1.09;36.98;3.81;6.5
0.7;1.09;30.25;4.28;6.8
0.7;1.15;47.77;4.12;6.12
0.8;1.11;50.16;4.15;5.96
0.8;1.13;26.98;4.09;5.92
0.8;1.16;31.59;4.12;6.63
0.8;1.11;43.67;4.41;5.3
0.8;1.1;24.11;3.49;6.48
0.8;1.11;27.95;4.17;6.84
0.8;1.12;45.56;4.12;4.94
0.8;1.16;38.91;4.13;6.79
0.8;1.15;41.42;4.07;5.75
0.8;1.1;24.98;3.76;5.04
0.8;1.09;24.62;4.29;6.68
0.8;1.23;23.6;4.04;4.94
0.8;1.15;30.51;4.25;6.84
0.8;1.09;26.47;4.44;7.3
0.8;1.09;27.22;3.44;6.62
0.8;1.17;30.4;4.17;7.04
0.8;1.12;47.97;4.23;5.8
0.8;1.14;41.83;4.14;6.28
0.8;1.36;20.94;4.07;5.41
0.8;1.11;23.5;4.11;8.58
0.8;1.09;43.31;4.22;4.89
0.8;1.09;24.83;4.12;7.15
0.8;1.32;33.38;4.15;6.48
0.9;1.14;36.81;4.29;6.63
0.9;1.15;34.56;4.12;5.58
0.9;1.12;40.49;4.17;8.43
0.9;1.11;24.88;4.17;62.85
0.9;1.1;22.22;3.44;4.86
0.9;1.1;38.86;4.24;4.94
0.9;1.15;28.05;4.12;6.43
0.9;1.13;23.94;4.1;7.4
0.9;1.09;21.9;4.28;7.2
0.9;1.1;39.78;3.2;6.3
0.9;1.11;44.59;4.12;4.89
0.9;1.09;22.06;4.12;5.2
0.9;1.29;29.67;4.16;6.54
0.9;1.21;20.97;4.07;5.53
0.9;1.1;20.89;4.12;7.91
0.9;1.33;18.63;4.23;5.56
0.9;1.14;35.94;4.17;6.57
0.9;1.09;38.5;4.3;8.86
0.9;1.16;27.03;4.15;5.81
0.9;1.09;28.75;3.16;6.65
0.9;1.09;23.55;4.17;5.87
0.9;1.14;27.13;4.09;6.23
0.9;1.11;42.65;4.02;5.51
1.0;1.1;40.14;4.07;4.86
1.0;1.15;35.0;4.12;5.97
1.0;1.09;25.9;3.59;6.51
1.0;1.09;21.17;4.2;6.56
1.0;1.14;24.4;4.2;8.0
1.0;1.27;32.34;4.14;6.1
1.0;1.2;18.89;4.07;7.48
1.0;1.1;20.01;3.19;5.21
1.0;1.1;35.79;4.15;62.73
1.0;1.15;31.13;4.37;5.4
1.0;1.12;41.01;4.13;7.54
1.0;1.1;22.37;4.08;6.02
1.0;1.11;38.4;4.3;5.2
1.0;1.1;34.61;4.02;5.39
1.0;1.14;25.29;4.54;6.58
1.0;1.09;19.73;4.15;8.27
1.0;1.14;33.13;4.2;5.56
1.0;1.13;33.48;4.14;6.58
1.0;1.12;21.55;4.09;6.84
1.0;1.1;18.84;4.44;16.5
1.0;1.3;16.79;4.35;5.87
1.0;1.13;19.5;4.09;7.62
1.0;1.17;27.49;4.07;6.17
1.0;1.09;18.19;4.25;5.81
1.0;1.11;38.91;4.17;7.09
1.0;1.19;45.51;4.14;5.92
1.0;1.11;20.62;4.2;8.12
1.0;1.1;21.45;4.29;8.05
1.0;1.16;51.86;3.39;5.9
1.0;1.15;35.17;4.12;7.4
1.0;1.13;42.56;5.04;6.48
1.0;1.19;31.02;4.14;7.2
1.0;1.17;22.37;4.17;8.48
1.0;1.15;29.9;4.4;6.02
1.0;1.13;37.82;4.17;7.01
1.0;1.09;19.87;4.43;11.66
1.0;1.2;42.52;4.17;9.66
1.0;1.09;34.66;4.12;8.13
1.1;1.13;30.1;4.11;6.89
1.1;1.14;28.3;4.27;5.24
1.1;1.11;37.27;4.18;7.05
1.1;1.14;22.99;4.38;16.33
1.1;1.1;33.53;4.27;6.66
1.1;1.1;31.48;4.42;5.08
1.1;1.1;18.17;4.22;49.92
1.1;1.1;20.33;4.07;6.38
1.1;1.1;36.5;4.09;5.05
1.1;1.28;15.26;4.25;5.82
1.1;1.25;29.39;4.22;5.53
1.1;1.13;22.19;4.07;7.47
1.1;1.09;19.25;4.12;5.4
1.1;1.09;23.55;3.41;6.38
1.1;1.14;31.79;4.25;6.79
1.1;1.11;34.91;4.17;5.25
1.1;1.13;30.41;4.14;7.25
1.1;1.12;19.61;4.09;8.15
1.1;1.1;17.1;4.33;6.87
1.1;1.19;17.19;4.14;8.02
1.1;1.09;17.97;4.23;6.68
1.1;1.09;18.05;4.29;60.32
1.1;1.09;31.54;4.39;7.45
1.2;1.09;16.59;4.12;11.19
1.2;1.09;16.43;4.19;6.48
1.2;1.12;18.01;4.14;41.23
1.2;1.13;21.09;4.09;7.45
1.2;1.1;28.87;4.16;5.15
1.2;1.1;30.77;4.23;5.35
1.2;1.1;18.63;4.07;7.89
1.2;1.11;34.2;4.17;6.64
1.2;1.14;25.94;4.07;5.39
1.2;1.13;27.59;4.1;6.22
1.2;1.1;16.65;4.08;6.33
1.2;1.1;33.43;4.13;4.97
1.2;1.18;15.73;4.12;8.46
1.2;1.24;26.93;4.21;5.24
1.2;1.09;17.67;4.33;5.46
1.2;1.09;21.6;1.98;5.86
1.2;1.14;29.18;4.12;7.61
1.2;1.11;32.0;4.13;5.22
1.2;1.12;27.9;4.09;6.58
1.2;1.27;14.01;4.02;6.99
1.2;1.1;15.68;4.32;6.48
1.2;1.09;28.87;4.31;6.76
1.2;1.13;20.37;4.03;8.17
